//Generated by Andre Kubagawa Sato

REC_CONTAINER
0,0
60000000,57520000

#PIECE 1
POLYGON 3
1490000,190000
0,0
-50000,-3210000

-50000,-3210000
10000,-6420000
1510000,-6600000

1510000,-6600000
2590000,-6910000
4230000,-7380000
5470000,-7700000
6800000,-8010000
8580000,-8370000
9880000,-6820000

9880000,-6820000
10750000,-6200000
10740000,-170000
9860000,450000

10750000,-6200000
12110000,-5530000
12100000,-830000
10740000,-170000

12110000,-5530000
13190000,-5270000
13180000,-1090000
12100000,-830000

13190000,-5270000
14810000,-5260000
14800000,-1090000
13180000,-1090000

14810000,-5260000
17080000,-3170000
14800000,-1090000

14810000,-5260000
15970000,-5400000
17190000,-4400000
17080000,-3170000

15970000,-5400000
17370000,-5640000
17190000,-4400000

17080000,-3170000
17180000,-1940000
15960000,-950000
14800000,-1090000

17180000,-1940000
17360000,-700000
15960000,-950000

9860000,450000
8560000,1990000
6780000,1620000
5450000,1310000
4210000,980000
2570000,500000

9860000,450000
2570000,500000
1490000,190000

-50000,-3210000
1510000,-6600000
9880000,-6820000
9860000,450000
1490000,190000

ANGLES
0
180

#PIECE 2
POLYGON 6
0,0
80000,-1480000
269623,-2996981
684435,-4624321
1790000,-4490000
5230000,-1210000
2720000,-520000
1174533,-118773

1790000,-4490000
2880000,-4460000
6550000,-1550000
5230000,-1210000

2880000,-4460000
4010000,-4630000
7550000,-1760000
6550000,-1550000

4010000,-4630000
5480000,-4970000
7640157,-5455617
8050000,-3500000

8050000,-3500000
8870000,-1960000
7550000,-1760000

4010000,-4630000
8050000,-3500000
7550000,-1760000

ANGLES
0
180

#PIECE 3
POLYGON 6
-1590000,-1850000
8930000,-3620000
11150000,-2580000
11250000,-1310000
11330000,-70000
9400000,230000
7920000,450000
6800000,590000
5240000,700000
3575263,700000
1810000,440000
9528,41819

-3280000,-2280000
2640000,-5890000
4778718,-5438493
6525122,-4850418
7660000,-4310000
8930000,-3620000
-1590000,-1850000

-4740000,-2620000
-6948462,-3075714
-8066452,-3594781
-5320000,-3840000

-3280000,-2280000
-4740000,-2620000
-5320000,-3840000
-4080000,-4000000

-3280000,-2280000
-4080000,-4000000
-2150000,-4430000

-3280000,-2280000
-2150000,-4430000
-770000,-5010000

-3280000,-2280000
-770000,-5010000
2640000,-5890000

-770000,-5010000
1300000,-6200000
2640000,-5890000

ANGLES
0
180

#PIECE 4
POLYGON 6
0,0
80000,-1720000
3090000,-1660000
2130000,140000

3090000,-1660000
4840000,-1650000
5110000,260000
2130000,140000

4840000,-1650000
6160000,-1670000
6680000,290000
5110000,260000

6160000,-1670000
7180000,-1720000
7850000,260000
6680000,290000

7180000,-1720000
8760000,-1940000
9090000,160000
7850000,260000

8760000,-1940000
10310000,-2480000
13514549,-1110968
12090000,-570000
10489706,-68213
9090000,160000

ANGLES
0
180

#PIECE 5
POLYGON 6
0,0
339600,-1429150
770000,-2680000
3600000,-2640000
3820000,-940000
2170000,0

770000,-2680000
890000,-3880000
1690000,-6500000
3500000,-4120000
3600000,-2640000

890000,-3880000
-8260000,-4390000
-8240000,-5980000
390000,-6070000

890000,-3880000
390000,-6070000
1690000,-6500000

1690000,-6500000
3480000,-6100000
3500000,-4120000

1690000,-6500000
2090000,-8000000
2510000,-9400000
3710000,-9240000
3540000,-7260000

1690000,-6500000
3540000,-7260000
3480000,-6100000

3820000,-940000
4886912,2321128
3520000,540000

3820000,-940000
3520000,540000
2170000,0

ANGLES
0
180

#PIECE 6
POLYGON 3
0,-72222
1298000,-360667
3068846,229615
4950000,1100000
6160000,1720000
7370000,2380000
7370000,7620000
6160000,8280000
4950000,8900000
3068846,9770385
1298000,10360667
0,10072222

7370000,2380000
8550000,2900000
8550000,7100000
7370000,7620000

8550000,2900000
9590000,3130000
9590000,6870000
8550000,7100000

9590000,3130000
10710000,3060000
12600000,3940000
12500000,4990000

10710000,3060000
12750000,2550000
12600000,3940000

12500000,4990000
12600000,6060000
10710000,6940000
9590000,6870000

12600000,6060000
12750000,7450000
10710000,6940000

9590000,3130000
12500000,4990000
9590000,6870000

ANGLES
0
180

#PIECE 7
POLYGON 3
0,0
-40000,-1230000
-80000,-2910000
3520000,-5010000
4920000,-4580000

-80000,-2910000
-170000,-4540000
2460000,-5380000
3520000,-5010000

-170000,-4540000
-400000,-6200000
1190000,-6190000
2460000,-5380000

0,0
4920000,-4580000
6470000,-4160000
7660000,-3690000
9130000,-3020000
10610000,-2240000
10460000,-1000000

0,0
10460000,-1000000
10370000,20000

0,0
10370000,20000
10610000,2240000
9130000,3020000
7660000,3690000
6470000,4160000
4920000,4580000

0,0
4920000,4580000
3520000,5010000
-80000,2910000
-40000,1230000

3520000,5010000
2460000,5380000
-170000,4540000
-80000,2910000

2460000,5380000
1190000,6190000
-400000,6200000
-170000,4540000

ANGLES
0
180

#PIECE 8
POLYGON 6
-760000,-850000
-1780000,-2000000
-2700000,-3060000
-2690000,-6590000
-900000,-7080000
-40000,-5390000
400000,-4430000
940000,-3120000
1402381,-1903175
1890000,-420000
45243,50601

-2700000,-3060000
-4120000,-3740000
-3660000,-5600000
-2690000,-6590000

-4120000,-3740000
-9580000,-3830000
-9540000,-5430000
-3660000,-5600000

ANGLES
0
180

#PIECE 9
POLYGON 6
-1358736,-804483
-2380528,-2030634
-2408782,-3669330
-1973607,-4858808
-1143284,-6256180
-328851,-5550338
582857,-4450000
1181429,-3053333
1086990,-1510841
71138,133872

ANGLES
0
180

#PIECE 10
POLYGON 3
-1753889,-724795
-3040000,-1510000
-2880000,-5100000
2570000,-3580000
3220000,-650000
158475,80411

-3040000,-1510000
-4070000,-1930000
-4130000,-4300000
-2880000,-5100000

-4070000,-1930000
-5100000,-2080000
-5310000,-4040000
-4130000,-4300000

-5100000,-2080000
-6730000,-1920000
-7600000,-3530000
-5310000,-4040000

-6730000,-1920000
-7900000,-1690000
-7600000,-3530000

-7900000,-1690000
-9900000,-1240000
-10290000,-2920000
-7600000,-3530000

-2880000,-5100000
-2520000,-7000000
2460000,-4940000
2570000,-3580000

-2520000,-7000000
2420000,-6420000
2460000,-4940000

-2520000,-7000000
-2520000,-8620000
2420000,-7820000
2420000,-6420000

-2520000,-8620000
2410000,-9220000
2420000,-7820000

-2520000,-8620000
-2740000,-10150000
2480000,-11430000
2410000,-9220000

-2740000,-10150000
-5330000,-11570000
2700000,-12900000
2480000,-11430000

-5330000,-11570000
-7620000,-12070000
-6750000,-13680000
-5120000,-13530000

-7620000,-12070000
-7930000,-13910000
-6750000,-13680000

-7620000,-12070000
-10310000,-12670000
-9930000,-14350000
-7930000,-13910000

-5330000,-11570000
-5120000,-13530000
-4090000,-13680000

-5330000,-11570000
-4090000,-13680000
2700000,-12900000

-4090000,-13680000
-3070000,-14110000
2700000,-12900000

-3070000,-14110000
-1804118,-14882854
64217,-15689188
3190000,-14990000
2700000,-12900000

ANGLES
0
180
